"ID","Region","File_Path","catch","total mortality","harvest","total removals","catch per unit effort|cpue","catch rate","index of abundance","catch per effort|fishing success","landings","retained catch","natural log of unfished recruitment|lnr0","logr0","log(r0)","r0","projection","forecast","prediction","sex","gender","spawning biomass|sb","spawning stock biomass|ssb","spawning output","spawning stock output|sso|spawners|effective spawning output","mass","weight"
"11","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/Stock assessment of Queensland red emperor 2022.pdf",196,1,169,0,0,35,4,0,0,34,4,0,0,0,0,1,0,11,0,96,8,5,40,1,25
"12","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/Stock assessment of the Queensland ballots saucer scallop_2022ed..pdf",160,0,73,0,11,46,2,0,1,0,0,0,0,7,1,0,0,0,0,35,1,0,10,0,13
"13","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/Stock assessments for SESSF- 2019 - Part 2.pdf",1044,0,36,9,1103,117,1,0,4,0,0,0,0,0,1,0,0,0,0,6,0,0,14,1,0
"14","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/Stock Assessments for SESSF 2020–21 - Part 1.pdf",522,2,93,8,281,53,2,0,34,14,10,0,0,9,8,8,0,13,1,283,124,0,30,21,34
"15","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/01_WGNSSK_Report_2019.pdf",1319,21,169,8,114,12,2,0,1512,0,0,0,0,0,8,401,64,47,0,590,575,0,99,7,241
"16","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/ices2023_WKBCOD_report_2023.pdf",334,1,15,0,5,2,0,0,396,0,0,0,0,0,1,49,3,0,0,165,162,0,37,3,47
"17","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/WKBALTCOD2_2019.pdf",274,0,71,0,50,0,0,0,85,0,1,0,0,6,1,23,7,16,0,67,83,0,51,4,82
"18","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/WKBBALTPEL_2023_final_report.pdf",295,9,6,0,7,0,1,0,126,0,1,0,0,6,7,18,19,12,1,176,178,0,52,0,82
"19","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/wkdem_2020.pdf",173,1,3,0,2,0,0,0,80,0,0,0,0,0,0,3,18,0,0,60,54,0,20,1,18
"20","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/WKFlatNSCS_2020.pdf",423,0,1,0,8,2,36,0,3357,0,0,0,0,0,0,18,23,99,0,131,131,0,61,1,220
