"ID","Region","File_Path","biomass|b","abundance","spawning biomass|sb","spawning stock biomass|ssb","spawning output","spawning stock output|sso","mature biomass","spawners","effective spawning output","unfished","virgin","initial equilibrium","unfished equilibrium","recruitment","recruits","recruit","age 0 fish","age 1 fish","catch","total mortality","harvest","total removals","catch per unit effort|cpue","catch rate","index of abundance","catch per effort","fishing success","landings","retained catch","spawner per recruit|spr","spawning potential ratio|spr","maximum sustainable yield|msy","instantaneous total mortality rate|z","fishing mortality|f","instantaneous fishing mortality rate","harvest rate","exploitation rate","finite fishing mortality","apical f","fishing mortality at maximum sustainable yield|fmsy","mass","weight","length composition","length frequency","length observation","size frequency","size composition","age composition","age frequency","age observation","projection","forecast","prediction","sex","gender","natural log of unfished recruitment|lnr0","logr0","logr_0","log(r0)","r0","plus group"
"14","Australia","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/Australia/Stock Assessments for SESSF 2020–21 - Part 1.pdf",0.08,0.01,0.04,0.02,0,0,0,0,0,0.01,0,0,0,0.1,0,0,0,0,0.07,0,0.01,0,0.04,0.01,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01
"15","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/01_WGNSSK_Report_2019.pdf",0.07,0.01,0.03,0.03,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0.07,0,0.01,0,0.01,0,0,0,0,0.08,0,0,0,0.04,0,0.37,0,0,0,0,0,0.02,0,0.01,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0
"16","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/ices2023_WKBCOD_report_2023.pdf",0.09,0.01,0.04,0.04,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0.09,0,0,0,0.03,0,0.47,0,0,0,0,0,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0
"17","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/WKBALTCOD2_2019.pdf",0.07,0.02,0.01,0.02,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0.06,0,0.01,0,0.01,0,0,0,0,0.02,0,0,0,0,0.01,0.46,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/WKBBALTPEL_2023_final_report.pdf",0.08,0.01,0.03,0.03,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0.02,0,0.01,0.01,0.07,0.01,0.58,0,0,0,0,0,0.04,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/wkdem_2020.pdf",0.07,0,0.03,0.03,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0.04,0,0,0,0.02,0,0.49,0,0,0,0,0,0.02,0,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0
"20","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/WKFlatNSCS_2020.pdf",0.07,0.01,0.01,0.01,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0.36,0,0,0,0.04,0,0.46,0,0,0,0,0,0.02,0,0.02,0,0,0,0,0,0.01,0,0,0,0,0,0.01,0,0,0,0,0,0,0
"21","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/WKMSYSPiCT_2021.pdf",0.13,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0.06,0,0,0,0,0.06,0,0,0,0.07,0.01,0.46,0,0,0,0,0,0.03,0,0.01,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0
"22","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/WKSPRAT_2018_Report.pdf",0.04,0.02,0.02,0.02,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0.05,0,0.01,0,0.01,0,0,0,0,0.01,0,0,0,0,0.01,0.58,0,0.01,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0
"23","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIatf.pdf",0.12,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17,0,0.02,0,0.01,0,0,0,0,0,0,0,0,0,0.01,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0
"24","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIatka.pdf",0.14,0.02,0.03,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0.06,0,0.01,0,0.02,0,0,0,0,0,0,0,0,0,0.01,0.46,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIocto.pdf",0.09,0.02,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.11,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.01,0.63,0,0,0,0,0,0,0,0.01,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIoflat (8).pdf",0.2,0.04,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0.08,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIorock (5).pdf",0.14,0.01,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0.1,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.01,0.46,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIpop.pdf",0.15,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0
"29","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIrocksole.pdf",0.12,0.03,0.02,0.01,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0.03,0,0.02,0,0,0,0,0,0,0,0,0,0,0.02,0,0.5,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.04,0,0,0,0,0.01,0.02,0,0,0,0,0,0,0
