"ID","Region","File_Path","biomass|b","abundance","spawning biomass|sb","spawning stock biomass|ssb","mature biomass","spawners","effective spawning output","unfished","virgin","initial equilibrium","unfished equilibrium","recruitment","recruits","recruit","age 0 fish","age 1 fish","catch","harvest","total removals","catch per unit effort|cpue","catch rate","index of abundance","catch per effort","fishing success","landings","retained catch","spawner per recruit|spr","spawning potential ratio","maximum sustainable yield|msy","instantaneous total mortality rate|z","fishing mortality|f","instantaneous fishing mortality rate","harvest rate","exploitation rate","finite fishing mortality","apical f","fishing mortality at maximum sustainable yield|fmsy","mass","length composition","length frequency","length observation","size frequency","size composition","age composition","age frequency","age observation","projection","sex","gender","plus group"
"1","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/01_WGNSSK_Report_2019.pdf",0.07,0.01,0.03,0.03,0,0,0,0,0,0,0,0.03,0,0,0,0,0.07,0.01,0,0.01,0,0,0,0,0.08,0,0,0,0.04,0,0.37,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/ices2023_WKBCOD_report_2023.pdf",0.09,0.01,0.04,0.04,0,0,0,0,0,0,0,0.04,0,0,0,0,0.08,0,0,0,0,0,0,0,0.09,0,0,0,0.03,0,0.47,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/WKBALTCOD2_2019.pdf",0.07,0.02,0.01,0.02,0,0,0,0,0,0,0,0.02,0,0,0,0,0.06,0.01,0,0.01,0,0,0,0,0.02,0,0,0,0,0.01,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/WKBBALTPEL_2023_final_report.pdf",0.08,0.01,0.03,0.03,0,0,0,0,0,0,0,0.02,0,0,0,0,0.05,0,0,0,0,0,0,0,0.02,0,0.01,0,0.07,0.01,0.58,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/wkdem_2020.pdf",0.07,0,0.03,0.03,0,0,0,0,0,0,0,0.02,0,0,0,0,0.08,0,0,0,0,0,0,0,0.04,0,0,0,0.02,0,0.49,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/WKFlatNSCS_2020.pdf",0.07,0.01,0.01,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0,0.05,0,0,0,0,0,0,0,0.36,0,0,0,0.04,0,0.46,0,0,0,0,0,0.02,0,0,0,0,0,0,0.01,0,0,0,0.01,0,0
"7","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/WKMSYSPiCT_2021.pdf",0.13,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0.06,0,0,0,0,0.06,0,0,0,0.07,0.01,0.46,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/WKSPRAT_2018_Report.pdf",0.04,0.02,0.02,0.02,0,0,0,0,0,0,0,0.04,0,0,0,0,0.05,0.01,0,0.01,0,0,0,0,0.01,0,0,0,0,0.01,0.58,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sum",NA,NA,0.62,0.1,0.17,0.18,0,0,0,0,0,0,0,0.18,0,0,0,0,0.52,0.03,0,0.09,0,0,0,0,0.68,0,0.01,0,0.27,0.04,3.87,0,0.01,0,0,0,0.14,0,0,0,0,0,0,0.01,0,0,0,0.01,0,0
