"ID","Region","File_Path","biomass|b","abundance","spawning biomass|sb","spawning stock biomass|ssb","spawning output","spawning stock output|sso","mature biomass","spawners","effective spawning output","unfished","virgin","initial equilibrium","unfished equilibrium","recruitment","recruits","recruit","age 0 fish","age 1 fish","catch","total mortality","harvest","total removals","catch per unit effort|cpue","catch rate","index of abundance","catch per effort","fishing success","landings","retained catch","spawner per recruit|spr","spawning potential ratio|spr","maximum sustainable yield|msy","instantaneous total mortality rate|z","fishing mortality|f","instantaneous fishing mortality rate","harvest rate","exploitation rate","finite fishing mortality","apical f","fishing mortality at maximum sustainable yield|fmsy","mass","weight","length composition","length frequency","length observation","size frequency","size composition","age composition","age frequency","age observation","projection","forecast","prediction","sex","gender","natural log of unfished recruitment|lnr0","logr0","logr_0","log(r0)","r0","plus group"
"1","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/01_WGNSSK_Report_2019.pdf",1388,255,590,575,0,0,18,4,0,0,3,0,0,514,29,41,0,2,1319,21,169,8,114,12,2,0,0,1512,0,38,36,820,37,7235,0,83,3,0,0,428,7,241,13,17,0,0,4,14,0,0,8,401,64,47,0,0,0,0,0,0,21
"2","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/ices2023_WKBCOD_report_2023.pdf",379,38,165,162,0,1,0,0,0,0,0,0,0,176,3,6,0,0,334,1,15,0,5,2,0,0,0,396,0,0,0,136,14,1970,0,0,0,0,0,36,3,47,2,0,0,0,1,13,0,0,1,49,3,0,0,0,0,0,0,0,12
"3","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/WKBALTCOD2_2019.pdf",350,80,67,83,0,0,0,7,0,0,0,0,0,78,0,0,0,0,274,0,71,0,50,0,0,0,0,85,0,0,0,23,38,2235,0,1,0,0,0,15,4,82,19,21,0,0,2,7,1,0,1,23,7,16,0,1,0,0,0,6,1
"4","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/WKBBALTPEL_2023_final_report.pdf",455,44,176,178,0,0,0,8,0,1,1,0,0,120,2,7,0,0,295,9,6,0,7,0,1,0,0,126,0,59,58,409,45,3276,0,0,0,0,0,215,0,82,0,3,0,0,0,5,0,0,7,18,19,12,1,1,0,0,0,6,20
"5","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/wkdem_2020.pdf",155,8,60,54,0,1,0,4,0,0,0,0,0,37,0,3,0,0,173,1,3,0,2,0,0,0,0,80,0,0,0,48,10,1039,0,0,0,0,0,32,1,18,1,0,0,0,0,5,0,0,0,3,18,0,0,0,0,0,0,0,5
"6","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/WKFlatNSCS_2020.pdf",649,108,131,131,0,0,0,0,0,4,0,0,0,132,11,4,0,0,423,0,1,0,8,2,36,0,0,3357,0,2,1,388,6,4302,0,1,0,0,0,206,1,220,2,2,0,0,0,69,0,0,0,18,23,99,0,0,0,0,0,0,19
"7","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/WKMSYSPiCT_2021.pdf",555,72,7,3,0,0,1,0,0,1,0,0,0,13,0,1,0,0,328,1,14,0,244,0,0,0,0,254,0,0,0,311,37,1933,0,0,0,0,0,133,2,31,10,2,0,0,0,0,0,0,0,55,17,8,0,0,0,0,0,0,1
"8","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/WKSPRAT_2018_Report.pdf",39,23,17,18,0,0,0,1,0,0,0,0,0,43,1,3,0,1,53,1,6,0,5,0,2,0,0,5,0,1,1,3,8,572,0,6,0,0,0,1,0,13,0,1,0,0,0,2,0,0,0,16,2,0,0,0,0,0,0,0,1
"Sum",NA,NA,3970,628,1213,1204,0,2,19,24,0,6,4,0,0,1113,46,65,0,3,3199,34,285,8,435,16,41,0,0,5815,0,100,96,2138,195,22562,0,91,3,0,0,1066,18,734,47,46,0,0,7,115,1,0,17,583,153,182,1,2,0,0,0,12,80
