"ID","Science_Center","File_Path","biomass|b|abundance","spawning biomass|sb|spawning stock biomass|ssb|spawning stock output|sso|mature biomass|spawners","unfished|virgin|initial|equilibrium|unfished equilibrium","recruitment","recruits|recruit|age-0 fish|age-1 fish","catch|total mortality|harvest","catch per unit effort|cpue|catch rate|index of abundance|catch per effort|fishing success","landings|retained catch","spawning per recruit|spawning potential ratio|spr","maximum sustainable yield|msy","instantaneous total mortality rate|z","fishing mortality rate|f|instantaneous fishing mortality rate|harvest rate|exploitation rate|finite fishing mortality|apical f","fishing mortality at maximum sustainable yield|fmsy","weight|mass","length composition|length frequency|length observation","age composition|age frequency|age observation","projection|forecast|prediction","sex|gender","natural log of unfished recruitment|lnr0|logr0|logr_0|log(r0)|r0","plus group"
"1","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/01_WGNSSK_Report_2019.pdf",0.96,0.04,0,0.03,0.03,0.11,0.01,0.08,0,0.04,0,1.39,0.02,0.05,0,0,0.03,0,0,0
"2","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/ices2023_WKBCOD_report_2023.pdf",1.18,0.07,0,0.04,0.05,0.11,0,0.1,0,0.03,0,1.78,0.01,0.07,0,0.01,0.03,0,0,0
"3","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/WKBALTCOD2_2019.pdf",1.24,0.04,0,0.02,0.02,0.11,0.02,0.02,0,0,0.01,1.66,0,0.04,0.01,0,0.01,0,0,0
"4","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/WKBBALTPEL_2023_final_report.pdf",1.43,0.05,0.01,0.02,0.03,0.09,0,0.02,0.01,0.07,0.01,1.92,0.04,0.05,0,0,0.01,0,0,0
"5","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/wkdem_2020.pdf",1,0.04,0,0.02,0.02,0.15,0,0.04,0,0.02,0,1.7,0.02,0.07,0,0.01,0.01,0,0,0
"6","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/WKFlatNSCS_2020.pdf",1.38,0.03,0,0.01,0.02,0.07,0.01,0.36,0,0.04,0,2.06,0.02,0.07,0,0.01,0.01,0.01,0,0
"7","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/WKMSYSPiCT_2021.pdf",1.18,0.01,0.02,0,0,0.14,0.06,0.06,0,0.07,0.01,1.91,0.03,0.05,0,0,0.02,0,0,0
"8","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/WKSPRAT_2018_Report.pdf",1.15,0.03,0,0.04,0.05,0.15,0.01,0.01,0,0,0.01,1.75,0,0.04,0,0,0.03,0,0,0
"Sum",NA,NA,9.52,0.31,0.03,0.18,0.22,0.93,0.11,0.69,0.01,0.27,0.04,14.17,0.14,0.44,0.01,0.03,0.15,0.01,0,0
