"ID","Region","File_Path","biomass|b|abundance","spawning biomass|sb|spawning stock biomass|ssb|spawning output|spawning stock output|sso|mature biomass|spawners|effective spawning output","unfished|virgin|initial equilibrium|unfished equilibrium","recruitment","recruits|recruit|age 0 fish|age 1 fish","catch|total mortality|harvest|total removals","catch per unit effort|cpue|catch rate|index of abundance|catch per effort|fishing success","landings|retained catch","spawner per recruit|spawning potential ratio|spr","maximum sustainable yield|msy","instantaneous total mortality rate|z","fishing mortality|f|instantaneous fishing mortality rate|harvest rate|exploitation rate|finite fishing mortality|apical f","fishing mortality at maximum sustainable yield|fmsy","mass|weight","length composition|length frequency|length observation|size frequency|size composition","age composition|age frequency|age observation","projection|forecast|prediction","sex|gender","natural log of unfished recruitment|lnr0|logr0|logr_0|log(r0)|r0","plus group"
"1","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/01_WGNSSK_Report_2019.pdf",18719,814,3,514,649,2190,153,1543,38,820,37,26921,428,257,59,54,593,57,1,21
"2","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/ices2023_WKBCOD_report_2023.pdf",4945,277,0,176,221,453,13,402,0,136,14,7439,36,73,4,29,119,0,0,12
"3","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/WKBALTCOD2_2019.pdf",6066,173,0,78,82,550,80,88,0,23,38,8095,15,97,54,14,42,18,11,1
"4","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/WKBBALTPEL_2023_final_report.pdf",8102,298,2,120,169,529,16,126,59,409,45,10875,215,99,3,19,73,23,7,20
"5","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/wkdem_2020.pdf",2111,85,0,37,44,311,6,80,0,48,10,3594,32,20,2,12,24,0,1,5
"6","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/WKFlatNSCS_2020.pdf",12799,239,4,132,166,683,51,3373,2,388,6,19156,206,224,4,76,56,117,6,19
"7","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/WKMSYSPiCT_2021.pdf",4958,34,1,13,14,580,266,254,0,311,37,7983,133,46,15,1,79,16,0,1
"8","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/WKSPRAT_2018_Report.pdf",1127,29,0,43,48,143,7,5,1,3,8,1712,1,14,1,2,29,0,0,1
"Sum",NA,NA,58827,1949,10,1113,1393,5439,592,5871,100,2138,195,85775,1066,830,142,207,1015,231,26,80
