"ID","Source","File_Path","biomass|b|abundance","spawning biomass|sb|spawning stock biomass|ssb|spawning stock output|sso|mature biomass|spawners","unfished|virgin|initial|equilibrium|unfished equilibrium","recruitment","recruits|recruit|age-0 fish|age-1 fish","catch|total mortality|harvest","catch per unit effort|cpue|catch rate|index of abundance|catch per effort|fishing success","landings|retained catch","spawning per recruit|spawning potential ratio|spr","maximum sustainable yield|msy","instantaneous total mortality rate|z","fishing mortality rate|f|instantaneous fishing mortality rate|harvest rate|exploitation rate|finite fishing mortality|apical f","fishing mortality at maximum sustainable yield|fmsy","weight|mass","length composition|length frequency|length observation","age composition|age frequency|age observation","projection|forecast|prediction","sex|gender","natural log of unfished recruitment|lnr0|logr0|logr_0|log(r0)|r0","plus group"
"1","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/01_WGNSSK_Report_2019.pdf",18719,814,27,514,647,2179,153,1543,36,820,37,26921,428,919,54,54,593,57,1,21
"2","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/ices2023_WKBCOD_report_2023.pdf",4945,277,10,176,221,453,13,402,0,136,14,7439,36,299,3,29,119,0,0,12
"3","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/WKBALTCOD2_2019.pdf",6066,173,15,78,82,546,80,88,0,23,38,8095,15,212,52,14,42,18,11,1
"4","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/WKBBALTPEL_2023_final_report.pdf",8102,298,55,120,169,529,16,126,58,409,45,10875,215,310,3,19,73,23,7,20
"5","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/wkdem_2020.pdf",2111,85,9,37,44,310,6,80,0,48,10,3594,32,143,2,12,24,0,1,5
"6","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/WKFlatNSCS_2020.pdf",12799,239,33,132,166,683,51,3373,1,388,6,19156,206,638,4,76,56,117,6,19
"7","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/WKMSYSPiCT_2021.pdf",4958,34,77,13,14,580,266,254,0,311,37,7983,133,202,15,1,79,16,0,1
"8","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/WKSPRAT_2018_Report.pdf",1127,29,0,43,47,143,7,5,1,3,8,1712,1,39,1,2,29,0,0,1
"Sum",NA,NA,58827,1949,226,1113,1390,5423,592,5871,96,2138,195,85775,1066,2762,134,207,1015,231,26,80
