"ID","Region","File_Path","catch","total mortality","harvest","total removals","catch per unit effort|cpue","catch rate","index of abundance","catch per effort|fishing success","landings","retained catch","natural log of unfished recruitment|lnr0","logr0","log(r0)","r0","projection","forecast","prediction","sex","gender","spawning biomass|sb","spawning stock biomass|ssb","spawning output","spawning stock output|sso|mature biomass|spawners|effective spawning output","mass","weight"
"85","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/B-8a-Gray_triggerfish_interim_9102020.pdf",0.14,0,0.03,0,0,0,0.02,0,0.03,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.01,0,0.06
"86","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/Dusky_update_report_2016.pdf",0.03,0,0,0.01,0.01,0,0,0,0.01,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0.01,0,0.01
"87","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/KGM_GOM_SA_08282020_final-revision_3.pdf",0.03,0,0.01,0,0.01,0,0.01,0,0.09,0.02,0,0,0,0.01,0,0,0,0.01,0,0.04,0.08,0.01,0,0,0
"88","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/S23_SAR_complete_and_final.pdf",0.03,0,0.02,0,0,0,0,0,0.05,0,0,0,0,0,0.01,0,0,0,0,0.02,0.03,0,0.01,0,0.01
"89","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/S28UpdateSAR_V2.pdf",0.01,0,0.01,0,0.02,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0.03,0.05,0,0.02,0,0.01
"90","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/S34_ATSH_SAR.pdf",0.04,0,0.01,0,0.01,0,0,0,0.01,0,0,0,0,0.01,0.03,0,0,0,0,0,0,0,0.01,0,0.01
"91","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/S51_FINAL_SAR_0.pdf",0.02,0,0,0,0.01,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01,0,0.01
"92","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/S52_Final_SAR_v2.pdf",0.01,0,0,0,0.01,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01,0,0
"93","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/S57_Final_SAR.pdf",0.02,0,0.01,0,0.01,0,0,0,0.07,0,0,0,0,0.02,0,0,0,0,0,0.01,0,0.01,0.02,0,0.01
"94","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/S64_SAR_FINAL.pdf",0.02,0,0.01,0,0.01,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0.01,0.02,0,0.01,0,0.01
"95","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/S67_Final_SAR.pdf",0.03,0,0.01,0,0.03,0,0,0,0.04,0,0,0,0,0,0,0.01,0,0,0,0.03,0.04,0,0.01,0,0.01
"96","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/S72_SAR_FINAL.pdf",0.01,0,0.01,0,0.02,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0.06,0.06,0,0.03,0,0.03
"97","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/SA BSB 2018.pdf",0.01,0,0.01,0,0,0,0,0,0.05,0,0,0,0,0,0.01,0,0,0,0,0.03,0.02,0,0,0,0.02
"98","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/SEDAR_60_SA_Red_Porgy_SAR_4.9.2020.pdf",0.01,0,0.01,0,0,0,0,0,0.06,0,0,0,0,0,0.01,0,0,0,0,0.04,0.03,0,0.01,0,0.02
"99","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/SEDAR65_FullSAR_12.8.2020_V3.pdf",0.04,0,0,0,0.01,0,0,0,0.02,0,0,0,0,0,0.02,0,0,0.01,0,0,0,0,0.01,0,0.01
"100","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/SMA_ASS_ENG.pdf",0.12,0,0.01,0,0.06,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0,0.01
"101","NOAA-SWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SWFSC/agenda-item-d-3.pdf",0.02,0,0.01,0,0,0,0,0,0.02,0,0,0,0,0,0,0.01,0,0.01,0,0.02,0.02,0,0.02,0,0.01
"102","NOAA-SWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SWFSC/SAC-11-07-MTG_Yellowfin tuna benchmark assessment 2019.pdf",0.05,0,0,0,0.01,0,0.02,0,0,0.01,0,0,0,0,0,0,0,0,0,0.03,0,0,0.03,0,0.01
"103","NOAA-SWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SWFSC/SC14-SA-WP-11 ISC18 Shortfin Mako Stock Assessment.pdf",0.1,0,0,0,0.07,0,0,0,0,0,0,0.01,0.01,0.01,0,0.01,0,0.01,0,0,0,0,0.01,0,0.01
"Sum",NA,NA,8.31,0.03,1.23,0.03,1.65,0.21,0.18,0,2.69,0.12,0.05,0.01,0.01,0.1,0.47,0.11,0.03,0.26,0.03,2.31,1.79,0.29,0.99,0.02,0.99
