218.218,5789.836,12827.1,8655.983,5673.671,6824.47,14549
835.542,27412.78,5807.442,7810.408,3909.446,3548.932,17088
8386.324,4159.249,1965.887,1178.072,1666.413,1515.111,5732
202.409,6456.121,1236.48,342.942,470.89,939.682,3436
5164.95,4938.308,5079.7,527.099,289.021,674.729,5223
8353.464,14062.2,2307.604,1568.275,263.513,190.967,8085
194.532,18813.1,9051.999,1110.713,458.091,137.009,9883
938.214,9873.196,6730.842,3909.054,522.705,170.492,8021
34.614,6746.682,7682.279,2978.842,1131.064,186.305,6607
163.144,35029.59,14731.53,1918.496,428.512,88.8,15764
2445.928,19105.06,42952.61,3658.222,391.226,195.105,22211
474.912,5946.505,20102.92,8205.874,887.176,278.885,11225
2084.185,7968.521,2228.806,2018.542,1137.481,252.318,4817
432.11,9847.173,3409.663,651.757,365.394,152.932,4620
1493.797,3350.165,2450.987,959.262,172.999,67.335,2652
5691.246,2165.44,574.592,542.432,143.648,34.304,2782
35.808,30144.12,5149.892,730.816,78.127,4.883,8349
237.698,2600.933,55331.32,2943.053,122.284,6.87,17916
469.007,1725.15,5714.632,11010.55,194.152,59.649,6430
445.395,1389.135,2065.015,2776.194,305.236,18.688,2695
12.599,457.756,467.205,746.478,152.235,4.2,771.0008
186.415,624.544,567.672,428.65,323.331,101.107,735.0004
1.045,354.153,286.248,285.203,59.548,32.386,343.0004
4.154,509.953,1174.657,247.187,32.197,31.158,759.0001
17.547,187.861,1569.984,949.629,118.704,50.578,1222
5.19,1278.933,1210.419,439.114,80.971,16.61,1087
69.424,435.662,2145.109,484.964,94.578,42.258,1403
18.359,1190.296,1454.467,569.139,58.138,10.2,1397
0,499.212,1966.532,552.772,140.467,43.454,1449
7.125,391.869,1174.59,475.332,34.607,1.018,945.0005
3.081,240.315,750.727,424.146,34.918,13.351,666.0005
297.183,177.697,354.373,311.481,208.335,103.146,619.0002
32.985,190.693,195.847,173.17,120.601,50.508,346.0002
53.601,372.054,319.504,167.109,64.111,75.672,396
9.566,296.535,747.182,187.061,47.828,38.263,502.0004
32.139,71.776,490.65,709.192,54.636,9.642,583.0006
14.859,178.302,163.444,337.501,267.453,14.859,453.0006
3.193,71.318,194.795,111.767,168.183,58.545,290.9995
16.598,67.428,211.621,205.396,162.865,122.408,390.0002
24.769,406,299.384,290.769,197.077,143.231,563.0002
32.943,90.593,605.325,437.522,210.011,129.712,645.9999
9.166,266.846,281.104,582.579,199.625,58.054,625
0.457,52.76,155.237,107.549,293.225,73.053,337.0005
0,18.574,59.633,66.476,43.991,118.288,151.9999
