1997,3556.07,0.2,944.66,596.2502,1676.49,311.49,27.18,0,50
1998,3107.97,0.2,1022.494,1861.468,141.8391,55.82965,0,26.33983,50
1999,2256.89,0.2,1422.11,450.03,320.57,32.09,32.09,0,50
2000,2545.21,0.2,56.71978,1917.432,348.1086,196.6092,0,26.33989,50
2001,1413.65,0.2,448.4501,701.72,181.94,81.54,0,0,50
2002,3443.4,0.2,291.29,2008.35,982.36,161.4,0,0,50
2003,1953.92,0.2,1344.147,9.500049,308.5615,263.2114,0,28.50015,50
2004,303.12,0.2,80.70267,112.4837,0,26.42087,55.01182,28.50094,50
2005,3025.86,0.2,2169.293,532.8282,212.8793,55.84981,55.00983,0,50
2006,4060.28,0.2,1370.003,2472.016,196.1705,22.09005,0,0,50
2007,1983.45,0.2,257.4088,1286.354,409.3079,0,30.37985,0,50
2008,3774.11,0.2,1223.947,452.309,1233.097,768.408,67.84982,28.49992,50
2009,1949.611,0.2,438.4771,724.7969,434.411,326.576,25.34999,0,50
2010,14077.94,0.2,425.199,6526.181,3597.291,2596.934,932.3371,0,50
2011,2300.533,0.2,312.0841,543.347,747.7549,459.2651,218.255,19.827,50
2012,5822.161,0.2,301.3949,3164.839,1265.302,717.6728,172.599,200.353,50
2013,1669.979,0.2,246.605,255.8981,842.6929,180.815,92.20001,51.768,50
2014,422.761,0.2,41.25,164.119,66.15199,125.02,0,26.22,50
2015,111.667,0.2,0,0,44.8046,53.53552,0,13.32688,50
2016,458.272,0.2,108.4503,130.2783,32.05307,89.15017,37.33708,61.00315,50
