"ID","Source","File_Path","catch","total mortality","harvest","catch per unit effort|cpue","catch rate","index of abundance","catch per effort","fishing success","landings","retained catch","natural log of unfished recruitment|lnr0","logr0","logr_0","log(r0)","r0","projection","forecast","prediction","sex","gender","spawning biomass|sb","spawning stock biomass|ssb","spawning output","spawning stock output|sso","weight","mass"
"19","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/wkdem_2020.pdf",0.08,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0.01,0,0,0.03,0.03,0,0,0.01,0
"20","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/WKFlatNSCS_2020.pdf",0.05,0,0,0,0,0,0,0,0.36,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0.01,0,0,0.02,0
"21","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/WKMSYSPiCT_2021.pdf",0.08,0,0,0.06,0,0,0,0,0.06,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0.01,0
"22","ICES","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/ICES/WKSPRAT_2018_Report.pdf",0.05,0,0.01,0.01,0,0,0,0,0.01,0,0,0,0,0,0,0,0.02,0,0,0,0.02,0.02,0,0,0.01,0
"23","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIatf.pdf",0.17,0,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0.01,0,0,0,0,0
"24","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIatka.pdf",0.06,0,0.01,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0.01,0
"25","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIocto.pdf",0.11,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
"26","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIoflat (8).pdf",0.08,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIorock (5).pdf",0.1,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIpop.pdf",0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.01,0,0,0,0,0
"29","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIrocksole.pdf",0.03,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.02,0,0.02,0.01,0,0,0.01,0
"30","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIrougheye (2).pdf",0.06,0,0.02,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0.01,0
"31","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIskate.pdf",0.19,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0,0,0.01,0,0,0,0,0
"32","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/EBSpcod.pdf",0.01,0,0.01,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0.01,0
"33","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/EBSPollock.pdf",0.06,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0.01,0.01
"34","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/GOAdeepflat.pdf",0.03,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.01,0,0,0,0
"35","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/GOAskate (9).pdf",0.05,0,0.03,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/PIRKC.pdf",0.04,0,0.01,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0.01,0
"37","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/sablefish.pdf",0.05,0,0.01,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.02,0,0,0.01,0
"38","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/SAFE_snow.pdf",0.06,0,0.01,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0.01,0
"39","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2020_FLD_GMGB_RPT.pdf",0.13,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0,0,0
"40","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2020_FLW_GM_RPT_Update_report_08_26_095440 (1).pdf",0.13,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0,0,0
"41","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2020_Herring_Unit_Report.pdf",0.09,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0.05,0.08,0,0,0,0
"42","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2020_HKR_SNEMA_RPT.pdf",0.09,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0,0,0
"43","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2020_HKS_GM_RPT.pdf",0.14,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0,0,0
"44","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2020_scallop_unit_maindoc_rev.pdf",0.02,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0.07,0.08,0,0,0.01,0
"45","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2021_COD_GB_REPORT_ver3.pdf",0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.03,0,0,0,0
"46","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2021_scup_MTA_report.pdf",0.1,0,0,0.01,0,0,0,0,0.07,0,0,0,0,0,0,0.01,0,0,0,0,0.08,0.14,0,0,0,0
"47","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2021_summer_flounder_MTA_report.pdf",0.09,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0.02,0,0,0,0,0.13,0.18,0,0,0,0
"48","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/4d_SkateAssessmentUpdate_July_2020.pdf",0.07,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0
"49","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/Bluefish_2021_Assesssment_Update_v4.pdf",0.1,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0.01,0,0,0,0,0.11,0.16,0,0,0,0
"50","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/crd0609a.pdf",0.03,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0.02,0.03,0,0,0.02,0
"51","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/Georges_Bank_Winter_Flounder_Update_2020_09_18_111359.pdf",0.11,0,0.01,0,0,0,0,0,0.03,0,0,0,0,0,0,0.01,0,0,0,0,0.1,0.13,0,0,0.01,0
"52","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/Golden_Tile_Assessment_MT2021_2.pdf",0.06,0,0,0.1,0,0.01,0,0,0.14,0,0,0,0,0,0,0.01,0,0,0,0,0.12,0.17,0,0,0.01,0
"53","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/noaa_24818_DS1.pdf",0.13,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0.01,0
"54","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/TSR_EGB_Haddock_2021_meeting_draft.pdf",0.07,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
"55","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/2011Dick3.pdf",0.06,0,0.01,0.01,0,0,0,0,0.03,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.02,0,0,0
"56","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/agenda-item-h-5-attachment-9-2.pdf",0.05,0.01,0.01,0,0,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.04,0,0.01,0
"57","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/Blue-Deacon_Assessment_2017_Final.pdf",0.06,0,0.01,0.02,0,0,0,0,0.03,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0
"58","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/c-6-attachment-1-full-assessment-electronic-only-status-of-lingcod-ophiodon-elongatus-along-the-northern-u-s-west-coast-in-2021.pdf",0.05,0,0,0.01,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0.01,0,0.02,0.01,0,0,0.01,0
"59","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/Cabezon-2019_FINAL.pdf",0.06,0,0.01,0.01,0,0,0,0,0.02,0,0.01,0,0,0,0,0,0,0,0,0,0.03,0,0.02,0,0.01,0
"60","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/California Scorpionfish.pdf",0.08,0,0.01,0.01,0,0.01,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0.01,0,0.02,0,0,0,0.01,0
"61","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/dover_sole_december_2021_final.pdf",0.02,0,0.01,0,0,0.01,0,0,0.03,0,0,0,0,0,0,0,0,0,0.02,0,0.04,0,0,0,0.01,0
"62","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/g-5-attachment-3-draft-full-assessment-of-status-of-the-pacific-spiny-dogfish-shark-resource-off-the-continental-u-s-pacific-coast-in-2021-electronic-only.pdf",0.08,0,0.01,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.01,0
"63","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/Gopher_BlackandYellow_Assessment_2019-1.pdf",0.1,0.01,0.01,0,0,0.01,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0
"64","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/hake-assessment-post-srg-final_20210303.pdf",0.08,0,0.02,0,0,0,0,0,0.01,0,0,0,0,0,0.01,0,0.01,0,0,0,0.05,0,0,0,0.01,0
"65","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/Longnose skate 2019_FINAL.pdf",0.08,0,0,0,0,0,0,0,0.07,0,0.01,0,0,0,0,0,0,0,0,0,0.03,0,0.01,0,0.01,0
"66","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/PacificOceanPerch2017_Assessment_Final.pdf",0.04,0,0.01,0.01,0,0.01,0,0,0.03,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.04,0,0.02,0
"67","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/sablefish_20191022.pdf",0.05,0,0.01,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0.01,0
"68","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/WidowAssessment2015.pdf",0.02,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0.01,0
"69","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/Yelloweye rockfish 2017.pdf",0.07,0,0,0.01,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0
"70","NOAA-NWFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NWFSC/Yellowtail rockfish 2017.pdf",0.05,0,0.01,0.01,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.01,0
"71","NOAA-PIFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-PIFSC/NMFS-PIFSC-60.pdf",0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
"72","NOAA-PIFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-PIFSC/noaa_17252_DS1.pdf",0.13,0,0.03,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
"73","NOAA-PIFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-PIFSC/noaa_20062_DS1.pdf",0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74","NOAA-PIFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-PIFSC/noaa_21164_DS1.pdf",0.13,0,0.08,0.07,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0
"75","NOAA-PIFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-PIFSC/SA-WP-06-[SP-alb-assessment] Rev 1.pdf",0.05,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0.01,0
"76","NOAA-PIFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-PIFSC/SC14-SA-WP-08 Silky shark stock assessment (1).pdf",0.1,0,0,0.1,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.01,0,0,0,0,0
"77","NOAA-PIFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-PIFSC/SC15-SA-WP-05 SKJ-Assessment REV2 (1).pdf",0.03,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0.01,0
"78","NOAA-PIFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-PIFSC/SC15-SA-WP-06 Oceanic whitetip shark_assessment.pdf",0.12,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0.06,0,0,0,0,0
"79","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/05.-Traditional-Interim-assessment-report-RS-002-1.pdf",0.13,0,0.02,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0
"80","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/08b.-SEDAR61_2021IA_Final.pdf",0.12,0,0.04,0,0,0.05,0,0,0.03,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.06,0
"81","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/2019_WHM_SA_ENG.pdf",0.06,0,0,0.04,0,0,0,0,0.01,0,0,0,0,0,0,0.01,0,0,0.01,0,0,0.01,0,0,0,0
"82","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/2020_ALB_ENG.pdf",0.05,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0
"83","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/2021_WBFT_SA_ENG.pdf",0.03,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0,0.03,0.03,0,0,0,0
"84","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/Atl_Blacknose_SAR.pdf",0.06,0,0,0.04,0,0,0,0,0.02,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.01,0
"85","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/B-8a-Gray_triggerfish_interim_9102020.pdf",0.14,0,0.03,0,0,0.02,0,0,0.03,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.06,0
"86","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/Dusky_update_report_2016.pdf",0.03,0,0,0.01,0,0,0,0,0.01,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0.01,0
"87","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/KGM_GOM_SA_08282020_final-revision_3.pdf",0.03,0,0.01,0.01,0,0.01,0,0,0.09,0.02,0,0,0,0,0.01,0,0,0,0.01,0,0.04,0.08,0.01,0,0,0
"88","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/S23_SAR_complete_and_final.pdf",0.03,0,0.02,0,0,0,0,0,0.05,0,0,0,0,0,0,0.01,0,0,0,0,0.02,0.03,0,0,0.01,0
"89","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/S28UpdateSAR_V2.pdf",0.01,0,0.01,0.02,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0.03,0.05,0,0,0.01,0
"90","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/S34_ATSH_SAR.pdf",0.04,0,0.01,0.01,0,0,0,0,0.01,0,0,0,0,0,0.01,0.03,0,0,0,0,0,0,0,0,0.01,0
"91","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/S51_FINAL_SAR_0.pdf",0.02,0,0,0.01,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0.01,0
"92","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/S52_Final_SAR_v2.pdf",0.01,0,0,0.01,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0,0,0
"93","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/S57_Final_SAR.pdf",0.02,0,0.01,0.01,0,0,0,0,0.07,0,0,0,0,0,0.02,0,0,0,0,0,0.01,0,0.01,0,0.01,0
"94","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/S64_SAR_FINAL.pdf",0.02,0,0.01,0.01,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0.01,0.02,0,0,0.01,0
"95","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/S67_Final_SAR.pdf",0.03,0,0.01,0.03,0,0,0,0,0.04,0,0,0,0,0,0,0,0.01,0,0,0,0.03,0.04,0,0,0.01,0
"96","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/S72_SAR_FINAL.pdf",0.01,0,0.01,0.02,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0.06,0.06,0,0,0.03,0
"97","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/SA BSB 2018.pdf",0.01,0,0.01,0,0,0,0,0,0.05,0,0,0,0,0,0,0.01,0,0,0,0,0.03,0.02,0,0,0.02,0
"98","NOAA-SEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-SEFSC/SEDAR_60_SA_Red_Porgy_SAR_4.9.2020.pdf",0.01,0,0.01,0,0,0,0,0,0.06,0,0,0,0,0,0,0.01,0,0,0,0,0.04,0.03,0,0,0.02,0
