"ID","Source","File_Path","biomass|b|abundance","spawning biomass|sb|spawning stock biomass|ssb|spawning stock output|sso|mature biomass|spawners","unfished|virgin|initial|equilibrium|unfished equilibrium","recruitment","recruits|recruit|age-0 fish|age-1 fish","catch|total mortality|harvest","catch per unit effort|cpue|catch rate|index of abundance|catch per effort|fishing success","landings|retained catch","spawning per recruit|spawning potential ratio|spr","maximum sustainable yield|msy","instantaneous total mortality rate|z","fishing mortality rate|f|instantaneous fishing mortality rate|harvest rate|exploitation rate|finite fishing mortality|apical f","fishing mortality at maximum sustainable yield|fmsy","weight|mass","length composition|length frequency|length observation","age composition|age frequency|age observation","projection|forecast|prediction","sex|gender","natural log of unfished recruitment|lnr0|logr0|logr_0|log(r0)|r0","plus group"
"25","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIocto.pdf",1.4,0.01,0,0.01,0.01,0.15,0.01,0,0,0,0.01,2.07,0,0.06,0,0,0,0,0,0
"26","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIoflat (8).pdf",1.37,0.02,0,0.02,0.02,0.11,0,0,0,0,0,2.19,0,0.17,0,0,0,0,0,0
"27","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIorock (5).pdf",1.51,0.03,0,0.01,0.01,0.13,0.01,0,0,0,0.01,2.18,0,0.12,0,0,0,0,0,0
"28","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIpop.pdf",1.56,0.05,0,0,0,0.27,0,0,0,0,0,2.05,0,0.17,0,0.01,0.11,0,0,0
"29","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIrocksole.pdf",1.32,0.03,0.01,0.08,0.11,0.11,0.01,0,0,0.02,0,1.84,0,0.13,0,0.06,0.03,0.04,0,0
"30","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIrougheye (2).pdf",1.31,0.04,0,0.04,0.04,0.1,0.02,0,0,0,0.01,1.74,0,0.14,0.02,0.02,0.01,0,0,0
"31","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/BSAIskate.pdf",1.6,0.01,0,0,0,0.29,0,0,0,0,0,1.79,0,0.24,0,0,0.04,0,0,0
"32","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/EBSpcod.pdf",0.84,0.03,0.01,0.01,0.01,0.04,0.02,0,0,0,0,1.2,0,0.04,0,0,0,0,0,0
"33","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/EBSPollock.pdf",1.08,0.04,0.01,0.03,0.04,0.1,0.01,0,0,0.01,0.01,1.55,0,0.1,0,0.01,0.01,0,0,0
"34","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/GOAdeepflat.pdf",1.11,0.03,0.01,0.03,0.05,0.12,0,0,0,0,0.01,2.18,0,0.1,0.02,0.01,0.01,0.01,0,0
"35","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/GOAskate (9).pdf",1.26,0,0,0.01,0.01,0.11,0.01,0,0,0,0,2.09,0,0.1,0.02,0,0,0,0,0
"36","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/PIRKC.pdf",1.5,0.01,0.01,0.03,0.04,0.08,0,0.01,0,0.01,0.01,1.77,0,0.1,0.02,0,0,0.03,0,0
"37","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/sablefish.pdf",1.3,0.06,0.01,0.05,0.06,0.09,0.03,0,0,0,0.01,2.01,0,0.07,0.01,0.02,0.01,0,0,0
"38","NOAA-AFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-AFSC/SAFE_snow.pdf",2.02,0.03,0.01,0.03,0.04,0.1,0,0.03,0,0.01,0,1.9,0,0.09,0.01,0,0,0.03,0,0
"39","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2020_FLD_GMGB_RPT.pdf",0.89,0.02,0,0.01,0.01,0.17,0,0.03,0,0.06,0,2.19,0.02,0.17,0,0,0.06,0,0,0
"40","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2020_FLW_GM_RPT_Update_report_08_26_095440 (1).pdf",0.78,0.02,0,0.01,0.02,0.15,0,0.05,0,0.01,0,2.72,0,0.21,0,0,0.06,0,0,0
"41","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2020_Herring_Unit_Report.pdf",0.9,0.13,0,0.11,0.15,0.17,0,0,0,0.01,0,2.14,0,0.08,0,0,0.18,0,0,0
"42","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2020_HKR_SNEMA_RPT.pdf",0.99,0.03,0,0.01,0.01,0.13,0,0.04,0,0.05,0,2.04,0.04,0.17,0,0,0.06,0,0,0
"43","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2020_HKS_GM_RPT.pdf",0.8,0.02,0.01,0.02,0.02,0.15,0,0.02,0,0.01,0,2.31,0,0.14,0,0,0.08,0,0,0
"44","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2020_scallop_unit_maindoc_rev.pdf",1.11,0.08,0,0.05,0.12,0.02,0,0.03,0,0.13,0,1.58,0.06,0.16,0.01,0,0.01,0,0,0
"45","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2021_COD_GB_REPORT_ver3.pdf",1.32,0.06,0,0.01,0.01,0.22,0,0,0,0.01,0,1.72,0,0.16,0,0,0.07,0,0,0
"46","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2021_scup_MTA_report.pdf",1,0.24,0,0.08,0.11,0.17,0.02,0.07,0,0.11,0,1.81,0.04,0.13,0,0,0.06,0,0,0
"47","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/2021_summer_flounder_MTA_report.pdf",1.01,0.28,0.01,0.1,0.14,0.12,0,0.06,0,0.11,0,1.84,0.03,0.12,0,0,0.07,0.01,0,0
"48","NOAA-NEFSC","C:/Users/bai.li/Documents/GitHub/fishdictionary/StockAssessment/NOAA-NEFSC/4d_SkateAssessmentUpdate_July_2020.pdf",1.21,0,0,0,0,0.07,0.01,0.01,0,0.05,0,2.14,0.01,0.17,0,0,0,0,0,0
